卦號	卦名	卦辭	關鍵	六十四卦的序列	相關詞	運勢	願望	愛情?關係	婚姻	個性	事業和策略	住宅	行情	旅行	生病?病狀	爻辭1	爻辭2	爻辭3	爻辭4	爻辭5	爻辭6	爻辭7	爻辭8
12	否	否之匪人。不利君子貞。大往小?。	乾（?）的氣上升，坤（?）的氣下降，天地之氣不相交。	物不可以終通，故受之以否。	堵塞、亂世、不和諧、失敗、落魄、破產、倒閉、拆夥、欺詐、陰謀。	運氣正在衰退和堵塞。無論做什麼，都不會成行。	通往希望的道路被封鎖了，不會實現。如果改變心態的話，以後能實現。	如果現在有對象的話，有分離的跡象。	沒有姻緣。 即使有也不會在一步之內達成共識。	內心是度量小且膽小的。有性急的地方。		光照不佳，衛生條件不好。	沒有動作時。	如果可能的話，最好取消。	腦疾、憂鬱、咽喉阻塞、喉癌、聲帶疾病、肺結核、血液不順、血塊、過度勞累等。	* 從底部計數，九表示陽?六表示陰(例如「初九」表示最底的陽的爻)	初六 拔茅茹。以其彙。貞吉。亨。 （當試圖拔掉茅(犬科植物)時，根是相連的，它的同類陰三爻全部一起脫落了，因為還沒有變得那麼糟糕，如果改變心態，並堅持正確的道路，會成為吉，並實現希望。） → 出去玩，選擇朋友的時候。 如果做出錯誤的選擇，會走錯路而失敗。如果和好朋友合作，就會得到吉。然而，即使願望很多能實現的也只有了了無幾。	六二 包承。小人吉，大人否。亨。 （雖然陰爻陰位的六二是小人，但因為知道中庸和正義，所以接受君子的話是吉。在大人的情況下，即便自己的道路堵塞也不為所動的接受，願望會實現。） → 跟隨上司，不過度相信自己的能力，並作出應有的努力，吉。過度信任會惡化人際關係，甚至會遭來怨恨。普通人的願望很容易實現，但大人物的運氣卻停滯不前。	六三 包羞。 (雖然想做壞事，但心裡還是感到羞愧。) → 儘管從表面看是無災無難，但內心隱藏著邪惡和弱點。當過度相信自己的能力的同時做事的話，會失去面子，感到羞愧。	九四 有命無咎。疇離祉。 （如果面對應有的命運，跟從志向也不會有罪咎，志同道合的人可沾附其福祉。） → 從堵塞的運氣中，終於出現了好運的跡象。如果以真誠的態度對待，不僅是自己，甚至是招徠周圍的人的好運。不要大意並懈地努力。	九五 休否。大人吉。其亡其亡，?于苞桑。 （可以讓堵塞的氣運休息，並恢復到太平。那只有大人物才能做到。這些人會警告自己說「這會導致滅亡這會導致滅亡」。把東西綁在堅固的桑樹的根上，確保自己的安全。） → 當一個有能力的人終於能夠展示自己的能力時。問題和障礙消失了，可以放心地向前邁進。然而，由於大意是挫折的根源，所以要做好充分的準備和注意。	上九 傾否。先否後喜。 （阻塞的否道被覆蓋傾斜。運氣一開始是封閉的，但最後會有快樂。） → 被封鎖的運氣終於開通了，當到目前為止的艱難和努力得到回報時。不要期望一切都能成真，而要對八成的成功感到滿意。這樣做，可以逐漸擴大。	
13	同人	同人于野。亨。利涉大川。利君子貞。	內卦的離（?）的火氣上升，與外卦的乾（?）的天同在，一起閃耀。	物不可以終否，故受之以同人。	相同的志向、協力一致、公共。	最好比起私事上優先公事較佳。	如果和同志們一起合作，會實現大成就。	當與有地位和能力的人合作時，會有許多對手，並且容易發生爭鬥。	有找到金龜婿的運氣。	和任何人都能打交道，交際手腕很好。		一個採光好，像是很多人聚在一起的房子。	良好的材料會大幅上升的勢頭。	團體旅行等複數人數為吉。避免獨自旅行。	腦病、精神病、眼病、胸悶、肺病、腰部疾病、失眠、高燒、流感、傳染性疾病。	* 從底部計數，九表示陽?六表示陰(例如「初九」表示最底的陽的爻)	初九 同人于門。無咎。 （為了與人公平、廣泛地交往，與人會面(交際)於門外。沒有罪咎。） → 早期發展階段很幸運，但是由於力量不足，運氣不能很好地活用。重要的是不要閉塞，要有廣泛的交際。	六二 同人于宗。吝。 （和九五相應，但應爻是指私人的交際，在同人卦是不好的。如在宗族內的交際。 如果這樣的話，會感到羞愧。） → 同伴意識太強，無法建立廣泛的關係而失敗。自私的態度可能會受到妨礙和誹謗。沒有對人的好惡，要有廣闊的視野。	九三 伏戎于莽，升其高陵。三歲不興。 (軍隊埋伏於草木叢裡，登到高地上看形勢。但經過三年都無法興兵動武。) → 懷著與之不相符的野心，採取了徒勞的策略，沒有機會而徒勞無功。強行競爭會引起麻煩，最好保持和諧的態度。	九四 乘其墉，弗克攻。吉。 （在對手之間隔一座城牆。但有不會贏的自覺。經過苦惱後回歸正到為吉。） → 當行為有錯誤時。指早點放棄折返的意思。雖然感受到苦難和憤怒，但幸運的是，忍受並度過了。	九五 同人，先號咷而後笑。大師克相遇。 （與人會同，先是痛哭，後來大笑。不順服的九四和九三用大軍將敵人打敗，終於可以與六二相遇。） → 一開始有煩心事，但很快就解決，可以放心。從人際關係的麻煩中解脫，運氣發展時。如果以信念為基礎，努力應對來自周圍的干擾，就可以很好地應對。	上九 同人于郊。無悔。 （即使想與人合同也沒有對象。然而，自己在一個孤高的地方，無所後悔。） → 有穩定的運氣，沒有重大的過失或失敗。但被周圍環境的排斥，缺乏發展性。放棄不必要的自尊，靈活地與周圍的人廣泛交往則可以獲得機會。	
14	大有	大有，元亨。	離（?）的火是乾（?）的天之上的卦。	與人同者物必歸焉，故受之以大有。	擁有大的東西，大為保有，大望，名聲。	當運氣上升被眷顧之時。	要達成還為時過早。	與異性交往是好的，但往往會成為多角關係。容易出現問題。	如果彼此有智慧，就會得到祝福，否則負擔很重。	內在是剛健，外在有才能，不拘小節而豪快的性格。		採光好，可以感受到寧靜的房子。	交易活躍，在漲勢中。	往往變得奢侈。	伴有高燒的疾病、神經症、體力消耗、肺病、腹部腫脹等。	* 從底部計數，九表示陽?六表示陰(例如「初九」表示最底的陽的爻)	初九 無交害。匪咎。艱則無咎。 （大有的初始階段，不會因傲慢而受到損害。不應該有罪咎。但對慾望有煩惱時應好好處理。這樣的話還是沒有罪咎。） → 有天賦，但因不成熟而無法施以才華。然而，如果努力的話，就會看到成功的跡象。現在，不該想要很多，而是充實內在，努力鑽研。不要做和身分不相符的事就會沒事。	九二 大車以載。有攸往。無咎。 （像是大車用以承載般，被賦予重任。車很堅固可以遠行，沒有罪咎。） → 充實自身的能力，可以回應周圍的人的信任。當一個人才可以充分發揮。伴隨著困難和責任成名。在有信心的時候繼續做事為好。然而，要小心過度信任。	九三 公用亨于天子。小人弗克。 (諸侯向天子獻上供品般，盡自己的能力為智者服務。普通人的德行不夠則不堪此任。) → 給長輩送禮物，接受支援。因為很容易受到周圍人的嫉妒和批評，要小心自己的行為。比起發展實力，真誠的交往才能成功。	九四 匪其彭。無咎。 （不炫耀，保持低調，無咎。） → 以謙遜的態度贏得周圍人的信任。要慎重，不要一鼓作氣地過度相信。有可能遭到周圍的反感。	六五 厥孚交如。威如。吉。 （當一個真誠的君主以謙遜且有威嚴的態度對待他的臣民時，吉。） → 運氣強大。有地位和名聲時，不要炫耀自己的好運，要真誠地與周圍的人交往。最好起用手下有力的人。	上九 自天祐之。吉無不利。 （跟從六五，會有來自上天的保佑，吉。） → 有能力的部下的共同努力，受到周圍人的信任，安泰。努力取得了應有的成果，一切進展順利。小心不要自私或對太超過的事情出手。	
15	謙	謙，亨。君子有終。	由於艮（?）的地在山下，是一種謙遜之形的卦象。	有大者不可以盈，故受之以謙。	謙讓、謙遜、謙虛、自重、節制、居於人下、幕後功臣。	有很多困難，但通過忍耐，信用會倍增。	對任何事情保持謹慎克制，就會成真。	沒有明顯的進展。	意思難以傳達，進展緩慢。	內在誠實，外在溫柔，謙遜的性格。		接受現狀，忍耐。	到目前為止，處於高點的往往會下降，穩定。	如果在附近，會沒事的。	胃腸道腫瘤、中毒、泌尿系統、腰痛、腹瀉、月經不順、憂鬱等。	* 從底部計數，九表示陽?六表示陰(例如「初九」表示最底的陽的爻)	初六 謙謙君子，用涉大川。吉。 （謙卑又謙卑的君子的處世態度。這樣的態度可以涉水過大河。即使冒險也可以渡過，吉。） → 謙卑得太謙卑了，有機會完成一件大事。但是，如果機會來到面前，要克制站於人前之事。	六二 鳴謙，貞吉。 （因為在陰爻陰位有美德，所以自然和謙卑的名聲響震天下。這樣做是守護正道，吉。） → 謙卑和真誠地與人交往。如果等待上級的提拔，會開運。	九三 勞謙，君子有終。吉。 (被五陰爻所崇拜的陽爻陽位的九三，雖然有很大的功勞，但謙遜，不自滿。人民將服從這樣的君子，最終得吉。) → 需要承擔責任的努力之時。不要試圖擺脫困難，而要透過試圖認真做事的態度，之後會開運	六四 無不利。撝謙。 （在上位，根據陰爻陰位因為有謙遜而無所不利。有地位而不炫耀，能夠發揮謙虛之美德） → 比起自己，先提拔部下中有能力的人為吉。自己的辛勞沒有多大的回報。	六五 不富以其鄰。利用侵伐。無不利。 （不必以金錢就可請鄰居幫忙，有美德就會被喜歡。如果這樣還被人厭惡的話，宜於出征侵伐，無所不利。） → 有必要將謙遜和嚴謹分開使用。為了自衛剛健是很重要的時候。	上六 鳴謙。利用行師征邑國。 （謙卑的名聲在回蕩。因為眾人都變成友方，控制軍隊也變得有可能。 但是力量不足，最多只能征服自治領土。） → 自尊心很高，但沒有實力，事物停滯不前。過度自信不會實現願望。	
16	豫	豫，利建侯行師。	代表地（?）下的雷（?）離開地面，並實現其雄心壯志。	有大而能謙必豫，故受之以豫。	快樂，娛樂，懶惰，準備。	積極走向新目標時。	著急即失敗。如果保持克制，就會成真。	停滯的被消除，彼此愉快地享受。	如果進展順利，將談成婚事，和諧地獲得快樂。	內部是安穩的，外部是行動的。		金玉其外，敗絮其中。	保持上升的勢頭，大幅移動時。	愉快的旅行，但要小心玩得太過頭。	胃癌、食道癌、內出血等。	* 從底部計數，九表示陽?六表示陰(例如「初九」表示最底的陽的爻)	初六 鳴豫。凶。 （受不了快樂，不由自主地大聲喊叫。這種傲慢的態度，凶。） → 能力不足，但想要更多而失敗。不要過分依賴別人，意識到自己的能力時，無事。	六二 介于石。不終日。貞吉。 （陰爻陰位守護著中正，當周圍沉浸在快樂之時，好好保護自己。外觀像一塊石頭。這種考慮是聰明的，在一天結束之前，可以確定吉凶的跡象。因為守護了正道，吉。） → 不多求，堅持守護應得的，會得到幸運。不要去做新的事情。	六三 盱豫。悔。遲有悔。 (對強大的爻的九四試探心意。通過這樣做，自己也可以成長，但最終會後悔。如果遲遲不能悔改，一定會後悔的。) → 不踏實努力，疏忽了腳邊。羨慕他人而不了解自己的能力，失敗。	九四 由豫。大有得。勿疑。朋盍簪。 （通過九四獲得快樂。可以得到許多東西。如果真誠不懷疑別人，志同道合的人會聚在一起，互相幫助。） → 有力量，收集周圍的期待並取得成就。真誠地做事是有好處的。然而，不尋求援助，獨自一人行動將會招來懷疑。 通過聚集有能力的同伴來發展。	六五 貞疾，琱ㄕ滿C （雖然在君位上守著正道，但被剛強的臣民九四所控制。這種情況等於重病患者。沒有死亡就結束了。） → 對有能力的部下感到不快。即使有地位，從他人來的信用非常薄弱。最好捨棄自尊，任用部下較好。	上六 鳴謙。利用行師征邑國。 （即使迷失在快樂之中，也有可能改變。悔改則沒有罪咎。） → 因為好運而大意，失去得到的東西。重新思考自身的力量和事物的本質，並專注於適合自己能力的事。	
17	隨	隨，元亨。利貞。無咎。	如果雷（?）在?（?）內移動，澤的水就會成為波紋，一起移動愉悅。	豫必有隨，故受之以隨。	欣悅跟隨，服從，執著。	當運氣改變時。	如果花時間，就會成真。	很容易被對方的甜言蜜語和誘惑所吸引。	起初，雖然沒有得到對方的答案，但只要花時間就會成立。	有行動力和愛嬌的。		根據情況，搬遷是有好處的。	暫時低迷。	小心旅途的誘惑。	精力下降、性病、消化不良、嘔吐等。	* 從底部計數，九表示陽?六表示陰(例如「初九」表示最底的陽的爻)	初九 官有渝，貞吉。出門交有功。 （可能改變過去的職務。如果守護正道和改變，吉。此外，走出大門，與他人交際會有良好的效果。） → 正處於一個轉捩點。可能改變職業或原則時。通過廣泛交往，為轉變和變革做好準備。	六二 ?小子，失丈夫。 （被一個年輕男子吸引，失去可敬的丈夫。） → 被身邊的人所吸引，失去重要的人和長輩。因為小事而失去一些重要的事物之時。	六三 ?丈夫，失小子。隨有求得。利居貞。 (未婚婦女被可敬的男人所吸引，失去年輕的男性朋友。可以得到任何想要的。如果努力在正確的道路上，這是有利益的。) → 通過遠離小事和跟隨大事得吉之時。願望會成真，但私人生活的滋潤可能會喪失。	九四 隨有獲。貞凶。有孚，在道以明，何咎。 （有九四的力量的臣民遵循君主的九五，所有想要的都會得到。但是被臣民懷疑實力。在這種情況下，即使堅持正道，也是凶。但，如果心裡有誠意，不走歪繼續捍衛道理的話，就不會有罪咎。） → 有力量，但如果得意忘形大肆張揚的話，會導致巨大的失敗。保持謙遜的態度，這樣從上司到下屬都備受喜歡。	九五 孚于嘉。吉。 （根據六二的回應，與善人交流是忠於承諾的。吉。） → 收集從上司到下屬的信任，並順利發展。以誠信為重，贏得周圍的人的信任。	上六 拘?之，乃從維之。王用亨于西山。 （被抓捕綁起來。此外，通過粗重的鋼索連接到柱子上。當跟隨適當的人時，應該被綁得那麼緊。國王誠心誠意地在西山祭祀。） → 被拘留，不能移動時，但如果跟隨一個可信的對象則沒有問題。不能自我主張，感到不自由和不滿。祭祀神佛或祖先是好的。	
18	蠱	蠱，元亨。利?大川。先甲三日、後甲三日。	蠱這個字代表盤子上有三隻蟲子。食物在盤子裡腐爛，昆蟲湧出的象形。	以喜隨人者必有事，故受之以蠱，蠱者事也。	腐敗、崩壞、不公正、兩敗俱傷、內部改革。	內部有問題。尤其是當有醜陋的爭吵時。	不會實現。	因多角關係而發生問題之時。沒有和諧。	凶。特別要對年長的婦女警惕。	有不能告訴他人的隱藏的事，在心裡迷茫的人。		內部有問題。	內部潛伏著一些壞因素。	在旅途中，身體和心靈可能會受到傷害。	遺傳性疾病、便秘、腫瘤等。	* 從底部計數，九表示陽?六表示陰(例如「初九」表示最底的陽的爻)	初六 幹父之蠱。有子，考無咎。厲終吉。 （將父親損壞的東西全權處理。有這樣的孩子，父親沒有罪咎。如果意識到危險，最終會得到吉。） → 繼前人之後，整理錯誤。雖然進展緩慢，但關鍵是要努力。	九二 幹母之蠱。不可貞。 （將母親損壞的東西全權處理。由於九二在陽爻中很強大，所以從正面進攻應該小心謹慎，堅持正道。） → 試圖通過正確理論時，會發生衝突。靈活應對較佳。	九三 幹父之蠱。小有悔，無大咎。 (將父親損壞的東西全權處理。由於九三在陽爻中是陽剛的，所以有些許遺憾是不得已的。然而，如果動機是正確的，不會有大的罪咎。) → 可能因為採取的手段而受到批評。然而，不必在意這樣的批評和干擾。繼續大膽地做，最後會成功。	六四 裕父之蠱。往見吝。 （對父親損壞的東西寬容視而不見。因為不親自動手，所以如果繼續前進，那將是一種恥辱。） → 把問題拋在一邊，當自己的立場受到威脅時。尋求有力量的人的幫助。	六五 幹父之蠱，用譽。 （將父親損壞的東西全權處理。因為應爻的九二將繼承，有一個優秀的後盾。因此，聲譽的提高是理所當然的。） → 可以消除長期的問題 強大的合作者可以完成改革。小心獨斷會導致失敗。	上九 不事王侯。高尚其事。 （不適用於王侯，使自己的生活方式高尚。） → 解決問題後離開並安居之時。不要干涉，以免被捲入其他醜陋的事。	
19	臨	臨，元亨。利貞。至于八月有凶。	在?（?）上方有地（?），代表了想要在高地從上往下眺望低處的澤。	有事而後可大，故受之以臨，臨者大也。	面對，相互，希望，慾望，願望，欣悅服從。	運氣好的時候，每件事都活躍之時。	在運氣上升的時候，願望逐漸實現。	彼此和諧順利。	求進為好。	溫柔乖巧。和人親密被愛。		舒適。	有上升的勢頭。	會是愉快的旅行。	消化不良、嘔吐、便秘、肺部疾病等。	* 從底部計數，九表示陽?六表示陰(例如「初九」表示最底的陽的爻)	初九 咸臨。貞吉。 （通過給人留下深刻的印象來面對對方。在保護正道上為吉。） → 如果好好利用現在的力量，認真回應長輩的關照，就會前進，吉。	九二 咸臨。吉無不利。 （通過給人留下深刻的印象來面對對方。以剛直和中庸的美德來前進是吉，也有利。） → 運氣盛大時，因長輩的提拔而成功。臨機應變的前進是很重要的，如果因為好運而大意，就會失敗。	六三 甘臨。無攸利。即憂之無咎。 (以甜美快樂為食，面對人民。這種態度是不道德的，不會帶來任何好處。但是，如果能夠反思這種態度，並避免它，就能逃脫罪咎。) → 輕視事物和大意，將導致挫折和失敗。小心甜言甜語。不要過度自信，不要忘記反省的態度。	六四 至臨。無咎。 （以最好的態度面對底部。沒有罪咎。） → 如果交給有能力的部下或合作者，就不會有過錯。以獨斷的方式行事會招來失敗。	六五 知臨。大君之宜。吉。 （自身不動，交給一個有實力的臣民(九二)。這是智慧的態度，也是大君應該採取的態度。） → 被任命擔任一個負責任的職位。不要採取專制，而要利用有力的部下來處理事情。放棄私利，從大局出發行事。	上六 敦臨。吉無咎。 （面對底部的態度是周到的。以站在上方來說，這是一個很好的方式，是吉，且沒有罪咎的。） → 有力量，但謙遜是運氣發展的根本。即使不直接參與事情，仍然可以期望從美德獲得別人的援助，並找到解決方案。	
20	觀	觀，盥而不薦。有孚顒若。	上面的二陽向下看，下面的四陰向上窺望。	物大然後可觀，故受之以觀。	觀察、靜觀、教育、信仰、學術?藝術的發展。	精神層面看不見的面，吉。	教育、學術、藝術的願望成真。	只是互相問好，得不到親和。	考慮得太多了，無法談妥。	太老實了，常常畏縮不前。		新建?改建和搬遷要相互對照為好。	以變化來說算小幅。	精神上令人耳目一新的旅行特別好。	高血壓、肩膀痠痛、背痛、頭痛、食欲不振、流感、感冒等。	* 從底部計數，九表示陽?六表示陰(例如「初九」表示最底的陽的爻)	初六 童觀。小人無咎。君子吝。 （如童子所見，力量弱，無法看到遠處。只看的到身旁的東西，普通人的話，這是沒有罪咎的。但如果是在上位的人，應感到羞愧。） → 知識和見識是不成熟的，所以需要努力和鑽研。日常小事沒有障礙，但當做大事時，並不會成功。	六二 闚觀。利女貞。 （從門口窺視。不走出大門是女人的正道，有利。） →以情緒、喜好來判斷，會損害信譽。以公正的思維方式做出理性的判斷。比起在外部引起事端，更應該充實內部之時。	六三 觀我生，進退。 (觀察自己的生存途徑，以決定進退) → 反思過去，在推測未來時慎重決定進退。仔細考慮，然後從大局出發，採取行動。	六四 觀國之光。利用賓于王。 （如果看到一個有光輝美德的國家，為那個國家的國王服務是有利益的。） → 與上司保持良好的關係，取得信任之時。沒有具體的結果，但可以得到精神上的喜悅。	九五 觀我生。君子無咎。 （應該仔細回顧平常的行為。如果那個行為作為君主並不可恥的話，那麼是沒有罪咎的。） → 雖擁有良好的地位和環境，但應該時常自省自戒。如果沒有做出讓部下信任的行為，會失去目前的地位。不要炫耀迄今取得的成就。	上九 觀其生。君子無咎。 （人民在看自己的行為。如果那個行為作為君主並不可恥的話，那麼是沒有罪咎的。） → 雖擁有良好的地位和環境，但沒有實利。儘管如此，還是會承擔責任。因為總是被周圍的人看著而不能放心。祭祀神佛，吉。	
21	噬嗑	噬嗑，亨。利用獄。	上卦（?）是上顎，下卦（?）是下顎，是表示一個夾在打開的嘴中的陽爻（?）的卦象。	可觀而後有所合，故受之以噬嗑，嗑者合也。	口中的東西，口角，鬥爭，性急，中間的障礙，商業，交易，刑罰	一開始是危險的，但結局是安穩的。	有障礙，很難實現。	容易因爭吵而崩潰。注意以柔軟的表現方式。	有許多不和和爭論。如果持續未解決的話，將給以後帶來麻煩。	性急任性，總是生氣。		商業和工業關係是吉。	買入和賣出是活躍的，有上升的趨勢，但可能會發生壞事。	商業關係很好，但最好避免其他的。	口腔腫脹、牙痛、食物中毒、暴飲暴食、胃癌、胃潰瘍等。	* 從底部計數，九表示陽?六表示陰(例如「初九」表示最底的陽的爻)	初九 屨校滅趾。無咎。 （腳上著鐐銬所以受傷。雖然這是一件壞事，但還是初期階段，沒有罪咎。） → 錯誤的方針而偏離正確的軌道時。趁現在反省，並自戒且考慮修正。	六二 噬膚滅鼻。無咎。 （咬罪人的肉。咬人的鼻子陷入罪人的肉中。即使如此罪人是頑固的，所以沒有罪咎。） → 消除障礙的話，那麼攻擊比預期的強也沒有問題。大意和自負是挫折的根源。	六三 噬腊肉，遇毒。小吝。無咎。 (就像咀嚼硬臘肉並中毒一樣，如果一個不能正確判斷的人來審判別人，就會遇到意想不到的反抗。有點羞愧，但對審判罪則是沒有罪咎的。) → 如果不仔細判斷，會意外地失敗。避免性急?強硬。如果不能負荷了，退出也是很重要的。	九四 噬乾胏，得金矢。利艱貞。吉。 （咀嚼乾的有骨頭的肉時，發現一支金箭埋在肉裡。金代表剛，箭代表直，要審判罪則，必須是剛直的。認為刑罰是困難的，第一次因堅持正確的道路而有利益，會得吉。） → 當一個難題在面前時。為了解決而投入了大量的精力，但會得到成果。在剛開始有困難，結局是吉。	六五 噬乾肉，得黃金。貞厲。無咎。 （咀嚼不比臘肉硬的乾肉，在肉中獲得黃金。審判是正確進行的，而且有可靠的助手在。但是，要審判罪則，必須堅持正確的道路，並誡命自己，這樣才能避免罪咎。） → 有難題，但可以用智慧來解決。最好有一個有影響力的合作者。不要採取強硬措施，而要採取臨機應變的措施。	上九 何校滅耳。凶。 （戴著脖子上的枷鎖，耳朵有被擦傷到潰爛的傷口。那是因為不好好聽別人說的話。） → 如果任由以氣勢前進的話，災難就會重複，不能自由行動。仔細聽別人的話，制定周密的計劃。有時退縮和靜觀也是一種策略。	
22	賁	賁，亨。小利有攸往。	如果山（?）下生火（?），火光照亮了樹木，看起來鮮艷而美麗。	物不可以苟合而已，故受之以賁，賁者飾也。	裝飾，華麗，文明，排場，美術，藝術，技藝，宣傳，廣告。	從表面上看，看起來很漂亮華麗，但內容空泛。	學問、美術、藝術等願望成真。	內在虛偽，或與對方之間有障礙，不能順利進行。	有可能受外在所拘束，誤會內在。	有良好審美意識的人。		設計裝飾或照明是好。	似乎有好消息，但實際上並不令人清爽。	因為常常揮金如土，要小心開支。	暴食、消化系統疾病、因缺乏運動而引起的心臟病、腹部腫瘤、腰痛等。	* 從底部計數，九表示陽?六表示陰(例如「初九」表示最底的陽的爻)	初九 賁其趾。舍車而徒。 （美麗的裝飾要去的路。扔掉車子，安穩的步行去。） → 簡樸的逐步前進之時。不要鋪張排場，而要朝著與自身相應的目標前進。	六二 賁其須。 （裝飾鬍子，與上級的精英一起行動。） → 必須依賴於上級。由於缺乏能力，大希望沒有實現，但小事會成真。	九三 賁如，濡如。永貞吉。 (夾在上下的陰爻之間，有裝飾，淋濕而有光澤般的突出。然而，為了不為那個場所鋪張浪費，要永遠堅持正確的道路。那樣的話，吉。) → 鋪張排場且為了不要失敗而注意之時。保持簡樸，繼續腳踏實地的努力。	六四 賁如，皤如。白馬翰如。匪寇婚媾。 （被初九和應爻妝飾之身，但身體還沒有裝飾。乘著白馬飛奔去和初九相見時也受到九三的干擾，。但這並非因為有惡意，而是因為九三也和六四結婚。） → 即使現在沒有能力或技能，也要堅持自己的信念。小心不要似是而非或因錯覺而做出錯誤的判斷。	六五 賁于丘園。束帛戔戔。吝終吉。 （妝飾一個樸素的地方。一束束的絲綢只堆了一點點，這是一個恥辱。然而，簡樸是好的，所以最終會得到吉。） → 為了未來節儉時。一路上可能會受到批評，不要在意，需充實內在。	上九 白賁。無咎。 （領悟到裝飾的虛無，回到以最為樸素的白色當做裝飾。沒有罪咎。） → 擺脫排場，回到原來的自己。採取冷靜和堅定的態度會帶來運氣。	
23	剝	?，不利有攸往。	陰試圖削除陽的形狀。	至飾然後亨則盡矣，故受之以剝，剝者剝也。	剝落，山崩、孤立、衰老、敵意很多、從上向下看。	像山崩時般的步伐不穩定。	散財和煩惱很多，但回報不大，願望不會實現。	女人強勢，男人在身心上都筋疲力盡。	最好停止。	獨斷的，不與周圍的人親和而孤立。		基礎不足或老化的房屋。	當處於高位時，可能會暴跌。	取消，吉。	腦出血、頭痛、頭部腫脹、僵硬的肩膀、背部僵硬、壓力、憂鬱、過勞等。	* 從底部計數，九表示陽?六表示陰(例如「初九」表示最底的陽的爻)	初六 ??以足。蔑貞。凶。 （床腳掉了下來。因為邪惡的東西試圖從腳下摧毀正道，凶。） → 運氣下降的時候。需要重新審視和修復自身的基礎與和手下的關係。	六二 ??以辨。蔑貞。凶。 （睡覺的床板的主體也掉了下來。邪惡的東西試圖摧毀正道，越來越凶。） → 運氣的衰退將進一步推進，必須對一切保持警惕。被信任的部下背叛，妨礙。應該清除身邊的障礙時。	六三 ?之。無咎。 (擺脫與壞朋友的關係，與君子結交。那樣的話，就沒有罪咎。) → 即使捨棄目前的關係，還是應該做正確的事。回到自己的信仰。	六四 ??以膚。凶。 （睡覺的床板和床腳全部都掉了下來，最後連自己的皮膚也被剝落。大難已經臨頭。） → 當壞事具體的出現，重要關頭堵住之時。把逃跑作為第一要考慮。為以後重新出發做好準備。	六五 貫魚，以宮人寵。無不利。 （作為為國王服務的宮人的頭頭，後宮嬪妃有如魚貫般很有秩序的排列，受到寵愛，無往不利。） → 從最有影響力的人那裡獲得支援。然而，當自己一人受到寵愛時，把周圍的人作為敵人，要注意周圍的環境。	上九 碩果不食。君子得輿、小人?廬。 （大的果實一個都沒有被吃，剝落到極致的時候，如果最後留下的人是君子，得輿且獲得民意，如果是像一般人的小人的話房舍毀壞，最後無法使用。） → 有力量的人的話，在危機中也會被周圍人的支持，保持自己的地位。如果是缺乏這種能力的人的話，可能會經歷挫折，但有望東山再起。	
