卦號	卦名	卦辭	關鍵	六十四卦的序列	相關詞	運勢	願望	愛情?關係	婚姻	個性	事業和策略	住宅	行情	旅行	生病?病狀	爻辭1	爻辭2	爻辭3	爻辭4	爻辭5	爻辭6	爻辭7	爻辭8
41	損	損，有孚。元吉。無咎。可貞。利有攸往。曷之用。二簋可用亨。	山澤損（?）是地天泰（?）的最下方的陽爻移動到最上方的形式。	緩必有所失，故受之以損。	損失、減退、先難後獲、為他人奮鬥、公共事業	現在照護負擔很大，因為虧損的事也很多所以感到沮喪之時，但漸漸為自己獲得了好處。	可能會因為人情而遭受損失，但從長遠來看，願望會實現。	當通過損失來滿足對方的感受時。	照護負擔很大，但忍耐著去結合的話，良緣。	一個為別人盡力而為的人。因此，有很多照護負擔的人。		對現況不滿，改建是好的。	請勿因一時損失而取消。	如果可以的話，最好推遲。	勞累過度、體力衰弱、血液循環不良、月經不調、便秘等。	* 從底部計數，九表示陽?六表示陰(例如「初九」表示最底的陽的爻)	初九 巳事遄往，無咎。酌損之。 （停止自己的工作，必須立即去幫助另一個人。沒有任何罪咎。但是，幫助別人時是在自我犧牲，所以請在仔細考慮自己的能力後給予幫助。） → 周圍的人，尤其是上司，毫不猶豫地自我犧牲迅速支援。	九二 利貞。征凶。弗損益之。 （必須繼續做自己認為正確的事情。如果激進地前進，凶。最好在不犧牲自己的情況下幫助他人。） → 應該保守自己的本分。不必通過自我犧牲來幫助他人。將期盼幫助的人推開反而會促進該人的獨立性，因此會有所幫助。	六三 三人行，則損一人。一人行，則得其友。 （如果三個人一起去，意見很多，無法得出結論。一個人去的話，可以按照自己的目標行事，所以總能交到好朋友。） → 當多人行動時，步調無法一致。最好單獨行動。通過獨自行動，可以獲得上級的支持。	六四 損其疾。使遄有喜。無咎。 （可以減少身體或道德上的疾病。如果及時處理，就會有治癒的快樂。沒有任何罪咎。） → 有很多障礙之時。現在，與其思考如何發展，不如針對當前的不足或困難及時準備措施。	六五 或益之。十朋之龜弗克違。元吉。 （人民為了君主的利益而行動，即使他們受到損害。即使用非常昂貴的大烏龜算命也沒有錯誤。大吉。） → 如果放棄私利私慾，並有柔順的美德的話，因為下屬的合作與上級的幫助，大吉。	上九 弗損益之。無咎。貞吉。利有攸往。得臣無家。 （盡量不要讓下屬虧損，而是要讓他們受益。沒有任何罪咎。保持正道是好的，繼續前進也是好的。世人臣服，個別房屋的界限消失，天下一家。） → 不讓對方受損，自己也獲得利益時。累積至今的人性美德，上級下屬都會以捨己的態度團結一致，獲得成功。	
42	益	益，利有攸往。利涉大川。	風雷益（?）是天地否（?）的上方的陽爻移動到下方的形式。	損而不已必益，故受之以益。	增益、增加、減頂增底、調和上下、財團、為利益行動、對工作的熱情	如果到目前為止一直停滯不前，那麼未來一切都會順利。	有自信，大膽行動希望就會成真。	彼此互相協調。	如果能夠彌補彼此的不足的話，就會和睦相處。	一個善於做生意的人。有商業才能的人。		只要是一個合適的擴建，是沒有問題的。	正在上升但不穩定。	將是一次平靜而安全的旅行。	高燒、強烈動機、結核病、健忘症、季節性傳染病等。	* 從底部計數，九表示陽?六表示陰(例如「初九」表示最底的陽的爻)	初九 利用為大作。元吉。無咎。 （做大事時有利益。但是，只有當是完全出自於善的工作的場合。那麼則沒有罪咎。） → 接受上頭的施捨，自己有了信心，工作有了很大的發展。相反，會因不相符的工作而背負過失。	六二 或益之。十朋之龜弗克違。永貞吉。王用亨于帝。吉。 （上位者給予處於下位的自己利益。毫無疑問，這就是用非常昂貴的大龜算命的情況。但是，條件是長期保持正確的道路。如果是王者的立場的話，最好祭天。） → 當一切都因上司的合作和援助而順利進行。但是，如果不保持誠意，將失去所賺取的利潤。 如果自己處於上頭的地位，最好表達對上天的感激之情。	六三 益之用凶事，無咎。有孚中行，告公用圭。 （拜託上司讓自己受益。本來是很可恥的事，但在壞事的情況下沒有任何罪咎。但前提是，適合中庸之道，不欺騙對方，不忘初心。） → 只有在緊急或非常時期下，才能以誠心誠意向上司尋求幫助來擺脫困境。	六四 中行告公從。利用為依遷國。 （如果自身符合中庸之道，會從一位慷慨的上司那裡得到想要得到的好處。應該搬到外國去。） → 如果可以與上級的人建立信任關係，那麼希望就可以在那個人的支持下實現。在這種情況下，最好勇於嘗試，對形勢或環境做出重大改變。	九五 有孚惠心。勿問元吉。有孚惠我德。 （如果上位者有誠信，有恩惠下位者的心的話，那毫無疑問就是大吉了。那麼下位者也會以誠信回報恩德。） → 上司和下屬的心意互通，一切進展順利。毫不遲疑盡最大努力實現自己的目標。	上九 莫益之。或擊之。立心勿琚C凶。 （沒有人願意讓一個只從他人那裡謀取利益的人受益。或者可能會被怨恨攻擊。利慾薰心，沒有恆心的人理所當然會遭遇壞事。） → 如果沉溺於私利私慾，就會招來別人的怨恨和誹謗。此外，可能會遭受損失和災難。由自己來造福他人。	
43	夬	夬，揚于王庭。孚號、有厲。告自邑。不利即戎。利有攸往。	澤天夬（?）的卦象是，陽從下方增加，最上方的陰爻被切斷的形式。	益而不已必決，故受之以夬，夬者決也。	決定，決斷，堅決進行，解決，潰決	如果試圖以這種氣勢堅持到底，將面臨厄運和危險。	如果試圖一口氣去達成，將會失敗。	急性子將導致關係破裂。	如果準備不充分，最好拒絕。	獨斷獨行。容易發生衝突的人。		可能有一些缺陷。	已接近上限，很快就有大幅下跌的跡象。	取消的話無事。	與頭部相關的受傷、疼痛、疾病等。 包括精神層面的。	* 從底部計數，九表示陽?六表示陰(例如「初九」表示最底的陽的爻)	初九 壯于前趾。往不勝為咎。 （熱衷於向前移動。但是，如果前進卻沒獲勝，則會受到指責。） → 過於自信，靠氣勢行動就會失敗。有必要提前考慮肯定會成功的措施。如果沒有的話就等待機會。	九二 惕號。莫夜有戎勿恤。 （時常注意周圍環境，如果有敵人進攻，請大聲告訴夥伴。即使敵兵在天黑後襲擊也不必擔心。） → 需要謹慎，以防止災害和意外事故。特別要注意不要在伙伴間引起衝突。	九三 壯于頄。有凶。君子夬夬。獨行遇雨，若濡有慍，無咎。 （試圖制裁壞人的態度明顯地表現在臉上。這會招來厄運。君子應保持毅然決然的態度。如果這樣做，即使被其他君子懷疑也沒有罪咎。） → 如果急於決定的話，肯定會失敗。不被他人看破內心般的在水面下充分的準備。只有到確信會成功時才公開行動。	九四 臀無膚。其行次且。牽羊悔亡。聞言不信。 （好像臀部的皮都剝落而坐不住一樣，站在最前端卻不想前進。但是，即使真的嘗試進行，也無法與他人一起靈活得前進。就像拉羊一樣，羊應該在前面，而自己應該從後面跟著。這樣，就不會有擔心的遺憾。但是，即使發出這種警告，也不會被相信。） → 不要試圖帶頭做事。因為這樣，最終不會進行。首先，要冷靜下來，跟在人後面。如果相信並接受這個警告，那麼惡運就會變成好運。	九五 莧陸夬夬。中行無咎。 （直接與惡人接觸，切斷與惡人的聯繫。如果以適合中庸之道的方式來行事，沒有任何罪咎。） → 是時候做出決定了。帶著迄今準備好的材料一口氣前進。即使遇到讓人感到困惑的言語，也要保持堅強的意志繼續前進。只要正確的行為舉止不要變得過於粗暴，不會有人責備。	上六 無號。終有凶。 （即使被制裁的反派大喊大叫，也沒有人會來幫忙。最後會變成凶。） → 自己的過失、不足或粗心浮出水面時，就會遭受損失或災難。遇到這種情況就沒有辦法，只能忍耐等自己的運氣變好。	
44	姤	姤，女壯。勿用取女。	天風姤（?）的卦象是，陽爻中自下生一陰爻，陽與陰意外相遇的形式。	決必有所遇，故受之以姤，姤者遇也。	偶遇、偶然、奇遇、意外情況、突發性災害、衰運的開始、女性有很好的相遇、女性得到寵愛	運氣下降的跡象。從意想不到的是開始事情變得越來越糟。	情況突然惡化，願望永遠不會實現。	一種由奇遇而產生的關係。	不談成，吉。拒絕會沒事。	女性是很容易受到優越男性的愛戴的熱情的人。		有機會考慮改造和維修。	因為產生了意想不到的因素而有下跌的傾向。	在旅行中可能會犯桃花或遇到盜竊等意外。	下肢冷痛、腿?膝麻痺、脫肛、痔瘡等。	* 從底部計數，九表示陽?六表示陰(例如「初九」表示最底的陽的爻)	初六 ?于金柅，貞吉。有攸往、見凶。羸豕孚蹢躅。 （將意想不到的陰爻的初六連接到堅固的金制車擋。如果能以這種方式阻止陰爻，因為這是正確的做法，吉。然而，如果向前推進，將遭遇凶。唯一的陰爻和瘦豬一樣小，但是這隻豬浮躁地亂跳，如果一有空隙牠就會向前移動。） → 抑制自己的行為。 即使認為這是一個好機會，也不要輕易地出手。或者，為了凶運的到來，加強防禦。	九二 包有魚。無咎。不利賓。 （如果把代表陰的魚放在廚房裡，那就沒有罪咎。用這種魚招待其他客人是不好的。） → 有無法公諸於世的問題。需要隱藏在自己之中，必須自己去處理，小心不要給別人添麻煩。	九三 臀無膚。其行次且。厲無大咎。 （好像臀部的皮都剝落而坐不住一樣，站在最前端想前進。但是，即使真的嘗試進行，也無法與他人一起靈活地前進。但是，如果繼續前進的話，可能會被邪惡傷害，所以沒有前進也不會受到大的罪咎。） → 想做的事無法造自己所想進展而感到不安，不可勉強進行。但這不會造成任何問題，所以最好保持現狀。	九四 包無魚。起凶。 （廚房裡沒有魚。就好像是一個因為離百姓太遠而無法聚攏民心的君子。如果試圖在這種情況下採取任何行動，凶。） → 錯誤的方針或行動可能導致損失。特別是從失去他人的信用。但是，即使採取措施，情況也只會變得更糟，所以現在只能忍受和維持現狀。	九五 以杞包瓜。含章，有隕自天。 （就像用川柳製成的籃子裡包裹瓠瓜一樣，君子包裹著人們的心。不過，通常君子在隱藏自己的尊嚴和美德的情況下與民眾接觸會比較好。那樣做，即使在像偏離天的軌道般的意外狀況發生時也可以以隱藏在君子中的尊嚴和美德來引起奇蹟。） → 以謙虛和寬容的態度對待他人，不要炫耀自己的才能和能力。會遇到意想不到的挫折，但可以通過隱藏的才能和能力來克服困難。	上九 姤其角。吝無咎。 （堅強而頑固的角是自然而然是孤立的。就算遇到像那種角的人，也不會有交流。不能與人交流是非常可恥的，但不會被邪惡玷污所以沒有罪咎。） → 即使試圖與周遭合作，因為人際關係缺乏協調而不會有任何進展。只是，因為想要維持現狀，可能會因為人際關係不順利而感到羞恥，但沒有特別的問題。	
45	萃	萃，亨。王假有廟。利見大人。亨。利貞。用大牲吉。利有攸往。	水聚集在地（?）上，變成澤（?）。澤地萃的意思是聚集。	物相遇而後聚，故受之以萃，萃者聚也。	聚集，群眾，祭祀	當物或人聚在一起，有活力時。	如果做為人有做出正確的行動的話，願望就會在上頭的援助下實現。	對方快樂，我方順從，高興和睦相處。	相互兼容的良緣。	受人喜愛親密的性格。		可以與鄰居有良好關係享受美好生活的住宅。	人氣聚集並暫時上升。	宜團體旅行。	胸病、咳嗽咳痰、心慌、飲食滯留等。	* 從底部計數，九表示陽?六表示陰(例如「初九」表示最底的陽的爻)	初六 有孚不終。乃亂乃萃。若號，一握為笑。勿恤。往無咎。 （雖然有誠意，但不能貫徹自己的信念。會感到困惑，不知所措，與不需要聚在一起的人聚在一起。如果哭著求救，會得到上頭的幫助，眼淚會變成笑容。所以別擔心。前進也沒有罪咎。） → 當因為不知所措而難以做出決定時。最後，選??擇一條直接通向目標的道路很重要。可能會感到不安，但只要勇往直前，運氣就會穩步上升。	六二 引吉。無咎。孚乃利用禴。 （被上頭拉著才第一次得到好運，沒有罪咎。如果對神佛誠實，即使只有很少的供品，也可以用來進行祭祀。） → 如果自己與同類的交往保持原樣什麼都不會改變，但如果得到上頭的提拔，會帶來吉。然而，如果試圖欺騙他人，事情就不會順利。就像當面對神佛依樣，需要誠實和真心。	六三 萃如，嗟如。無攸利。往?咎。小吝。 （試圖與自己同類的人聚在一起。不過，沒有被當成對象，只是一直嘆氣。沒有什麼好事。如果放棄周遭的人際關係，和一個在遠處、不起眼的人成為夥伴的話，會覺得有點丟人，但也沒有罪咎。） → 與親近的人錯過的事很多，感到孤獨時。即使親近的朋友是強大的支持者，但受施捨者無法享受到快樂。拋棄有鄰居就滿足了的念頭，找一個即使遠在他鄉也能幫助自己的人，與他結交朋友。	九四 大吉。無咎。 （只有當運氣好到得到大吉時，才不會受到罪咎。反過來說，如果結果達不到大吉的程度，就會受到罪咎。） → 即使沒有太多的才能或力量，如果能抓住好運氣，也可以得到大吉。守禮儀，記住要誠實，並保持不誤解本質的態度。	九五 萃有位。無咎。匪孚。元永貞。悔亡。 （通過聚集人們來獲得信任並獲得高位。沒有罪咎。即使如此要得到幾萬人的信任是很難的，那就試著建立正確的美德，做永遠認真、體貼他人的善事。那麼擔心的遺憾就會消失。） → 認清自己的立場。即使得到了一個有責任的地位，也不奢侈或自傲，為周圍的人帶來好處般的態度是非常重要的。那樣做就可以獲得比現在更多的美德和人望。	上六 齎咨，涕洟。無咎。 （一邊發出悲傷而怨恨的聲音，一邊流著眼淚流著鼻涕。擔心自己孤獨，並反省人們聚集，那就沒有罪咎。） → 所做的一切都不順利，不禁悲痛欲絕。反省自己的錯誤，根據自己的能力設定目標，一點一點的前進。	
46	升	元亨。用見大人。勿恤。南征吉。	坤（?）代表地下，巽（?）的意思是樹，逐漸長大，越來越高的掛就是地風升。	聚而上者謂之升，故受之以升。	前進上升，穩步堆積，逐漸上升	正值上升勢頭。通過耐心和穩定的努力，招來好運。	可以以穩步積累小事情來收穫巨大的成功。	意見可能會略有不同，所以小心謹慎地穩定互動是好的。	不能一蹴而就，但如果一點一點地清除障礙同時繼續前進的話就能談妥。	一個不斷努力建設的人。		現在是推進新建築和改建的好時機。	逐漸上升。	事前好好地準備，會是很棒的旅行。	胃腸道疾病、腹痛、嘔吐、腹瀉、腹部腫塊、腰痛等。	* 從底部計數，九表示陽?六表示陰(例如「初九」表示最底的陽的爻)	初六 允升。大吉。 （只有自己的話無法往上爬，但如果跟從上司的話，真的可以往上爬。 大吉。） → 如果繼續努力，即使自己做的不好，也會得到上司的支持。應該留心於圓滑的人際關係。	九二 孚乃利用禴。無咎。 （如果對神佛有誠意，即使只有很少的供品，也可以用來祭祀。沒有罪咎。） → 要帶有誠實和真心，就像面對神佛一樣。捨去私利私慾，不忘謙虛的態度，好機會就會來訪。	九三 升虛邑。 （就像穿越無人居住的村莊一樣，可以毫無阻礙地攀登。） → 這是一個好運的時期，一切都很順利。但是，請保持警惕並不怠於努力。	六四 王用亨于岐山。吉無咎。 （國王和諸侯通過舉行祭山來祈求好運。沒有罪咎。） → 誠心敬拜神佛，將自己交給祭祀流程，就會獲得好運。然而，如果有不相符的願望，運氣就會下降。	六五 貞吉。升階。 （如果能保持正道，可以得到好運，登上王位。容易升職。） → 可以通過維護社會正確的態度和努力獲得的地位和榮譽。多年的願望成真。	上六 冥升。利于不息之貞。 （因總是升遷，雙眼被蒙蔽。焦急著上位也什麼都得不到。然而，如果能放棄這個慾望，並切換到堅持正義的立場，最終將能夠獲取利益。） → 不自省自己的地位和能力，盲目地前進會導致失敗。如果能放棄私利私慾，保持正確的社會態度，那麼最終會受益。	
47	困	困，亨。貞。大人吉無咎。有言不信。	澤水困，意味著澤（?）的水（?）從底部逃出。	升而不已必困，故受之以困。	窮困、苦難、困難、欠缺、忍耐	由於支礙和障礙，無法預期任何進展。	現在任何事都很難實現。	沒有好的相遇。	婚姻談不成。	在金錢和人際關係上有很多困擾的人。		用水的設備不好。或者建在濕地裡。	將呈下降趨勢。	旅行時發生水難。	食慾不振、精神不振、過勞引起的症狀、腎臟疾病等。	* 從底部計數，九表示陽?六表示陰(例如「初九」表示最底的陽的爻)	初六 臀困于株木。入于幽谷，三歲不覿。 （坐在樹樁上時感到臀部疼痛，不能久坐而痛苦。再來，彷彿進入深谷般一片漆黑。三年內都看不到太陽。） → 運氣正在谷底。苦難和困難重重，問題無法解決。盡量不要動，長時間忍耐之時。	九二 困于酒食。朱紱方來。利用亨祀。征凶。無咎。 （因被給予過多的酒精和食物而感到痛苦。高位的人將要穿的衣服帶過來，被強行加上自己不期望的升格。在這種情況下，最好將所獲得的用於祭祀。但是，如果前進會招來厄運。但沒有罪咎。） → 不會因為短缺而受苦，但得到的比需要的更多並受苦時。將承擔不必要的責任和義務。自己積極的做事，會招來厄運，所以要像敬拜神佛般謙虛地，淡然的對應。	六三 困于石，據于蒺藜。入于其宮，不見其妻。凶。 （因面前擋住的大石頭而受苦，因身後的荊棘而不能坐下無法冷靜。回到家也見不到妻子。因為沒有地方可以安頓下來，凶。） → 沒有地方可以讓身心平靜下來，所以無法安心。當得不到親人的支持，感到孤獨時。	九四 來徐徐。困于金車。吝有終。 （試圖幫助痛苦的同伴(初六)，但遲到了。這是因為金車 (九二) 擋住了路。遲到是可恥的，但最終還是有好事。） → 由於私情，忽略了自己應該做的事情。結果，照護困難增加了。但是，如果該行為幫助了他人，那麼苦難最終會得到回報。	九五 劓刖，困于赤絨。乃徐有說。利用祭祀。 （鼻子被上面的人割掉。腿被下面的人砍斷。在只有低志向的人的環境下，即使都給予他們高位，他們也會因為與自己的志向不同而痛苦。但是，經過很長一段時間後，會逐漸獲得積極的可喜可賀的結果。此外，祭祀神佛會帶來好運。） → 已經在困難的環境中待了很長時間，但終於看到了解決問題的跡象。以忍受困難來磨練自己的力量，長期努力就會得到很大的回報。	上六 困于葛藟于臲卼。曰動悔。有悔征吉。 （遭受緊纏的藤蔓、崎嶇的岩石區的折磨。如果現在移動，會後悔的。如果能後悔並反省自己的行為，就會前進並獲得好運。） → 因為煩惱和忙碌而無法移動，無法改善情況。只有當陷入困境時，才能反省自己的行為。 好好反省之後，可以通過積極的做事來獲得好運。	
48	井	井，改邑不改井。無喪無得。往來井井。汔至亦未繘井，羸其瓶、凶。	水風井代表一口井。	困乎上者必反下，故受之以井。	只得到需要的份、 少量就滿意、 沒有多餘也沒有不足、 生活、營養、扶養	感覺滿意的現狀，並試圖保持的態度會招來平安。	小規模的願望成真。	看似樸質，但行事要穩妥、合理。	如果想要樸質但平靜的生活，這是一個良緣。	一個沒有抱負，不顯眼的人。		請不要搬家。	如果在低價區間，會一點一點的上漲。	如果是樸素的小旅遊的話沒有大問題。	血液循環不良、支氣管疾病、腫瘤、神經衰弱等。	* 從底部計數，九表示陽?六表示陰(例如「初九」表示最底的陽的爻)	初六 井泥不食。舊井無禽。 （井裡沒水了，不能喝泥水。這麼老的古井，連鳥兒也不來喝水。） → 缺乏能力或天賦，無法成為社會需要的人。花時間提高自己的能力。	九二 井谷射鮒。甕敝漏。 （井裡僅有少量的水，勉強滋潤著住在井底部的鯽魚。如果抽井的瓶子破了漏水，就更不可能把水抽起來了。） → 雖然有未來會成功的跡象，但因為沒有來自上級的支持，地位無法向上。忍耐吃苦和困難之時。	九三 井渫不食。為我心惻。可用汲。王明並受其福。 （井裡的水清澈見底，但喝不到。同樣，有才華或能幹的聖人不被社會需要。這是一種發自內心的嘆息。如果國王有眼光，國王和那個聖人都會得到好運。） → 雖然他已經有天賦和能力，但他沒有與人的關係和時間，也沒有得到社會的評價。 您需要對自己做出積極的聲明和宣傳。	六四 井甃。無咎。 （修繕井的內壁。沒有罪咎。） → 當試圖保持現狀並防止出現缺陷和障礙而努力之時。不能指望別人的評價，但如果能為別人辛勤工作和努力，會平安無事。	九五 井洌，寒泉食。 （井裡的水很乾淨，可以喝到很多冰涼的地下水。） → 到目前為止的勤奮和努力得到回報，被幸運眷顧之時。通過放棄私利私慾並奉獻的態度來獲得好運。	上六 井?勿幕。有孚元吉。 （由於可以毫無問題地從井中取水，因此每個人都可以使用而無需蓋上布幕。如果有誠意，可以得到很大的好運。） → 當迄今為止的勤奮和努力得到回報，那個成果的喜悅可以與周圍的人分享。就算成功了，也要繼續努力。嚴禁私利私慾。那樣的話會得到更多的好運。	
49	革	革 ， 巳日乃孚。元亨。利貞。悔亡。	革這個字代表動物皮。	井道不可不革，故受之以革。	變革、改革、革命、氣象一新、扔掉舊的	改變現在的思想和姿態，需要轉變方向之時。	如果改變新的願望，就會實現。	當可能發生分離、齟齬、容易發生衝突之時。	現有的婚事並不順利。	有創新精神的人。		重建是好的。	如果是低價格範圍內，將徹底改變和飆升。	選擇一個從未去過的目的地是好的。	口腔疾病、胸部疾病、貧血等。	* 從底部計數，九表示陽?六表示陰(例如「初九」表示最底的陽的爻)	初九 鞏用黃牛之革。 （用黃色牛皮鞏固自身。） → 黃色代表中庸，牛代表順從。與其自行嘗試做某事，不如用溫和和順從的美德來鞏固自己。 改變前不要勉強自己，慎重準備。	六二 巳日乃革之。征吉無咎。 （只有在應該改變的那一天到來之後改變才是好的。那樣的話前進會招來好運，沒有罪咎。） → 必須改變的時代即將來臨，但不要著急。等待時機成熟再改變。	九三 征凶。貞厲。革言三就、有孚。 （如果前進，凶。即使做正確的事也很危險。但是，改變的時候到了，所以如果和多數人協商且三次意見都一致的話，就會被人們信任，改變就會成功。） → 必須改變的時候，但草率的行動必定會失敗。在行動之前，應該與他人慎重反覆討論，在達成堅定的共識後才能做出改變。	九四 悔亡。有孚改命。吉。 （如果是成為革命者的合適人選的話，將不會後悔做出改變。但是，首先要獲得人們的信任是很重要的。之後，將通過革命獲得好運。） → 應該實施變革之時。只是需要獲得周圍的支持。私利私慾所造成的改革，必定會留下遺憾。	九五 大人虎變。未占有孚。 （正如老虎的皮毛隨著時間的推移發生美麗的變化一樣，有影響力的人也會自我改革並徹底改變世界。但條件是在之前早就被人們信用的人物。） → 如果是從以前開始就得到周圍的人支持的人，將能夠通過實施變革和改革取得巨大的成果。	上六 君子豹變。小人革面。征凶。居貞吉。 （跟老虎的皮比起來比較劣質，但隨著時間的推移豹皮也會美麗地變化。革命成功之後君子會創造新的文化。平民百姓只是接受變化，所以不如換個表情，靜靜地跟著君子。如果採取積極的行動會招來厄運。保持靜止才是正確的行為，吉。） → 站在人之上的人是在變革或革命後邊維護邊建構計畫。如果是普通人的話維持現狀會帶來幸運。	
50	鼎	鼎，元吉。亨。	鼎是中國古代使用的三角釜。	革物者莫若鼎，故受之以鼎。	熟，成熟，更新內在，得到新的	更新的內在的時候。	現在還不成熟，但如果花時間讓它成熟，就會實現。	當看起來似乎是穩定的，但有內部問題，並有內心的變化。	不會突然談成，緩緩和諧是好的。	聽話溫順的個性。		裝修或改造等改善內部是好的。	即使上升或下降也是穩定在高價位區間。	這將是一次很好的旅行，可以讓身心煥然一新。	眼部感染、感染性發熱、心胸疾病等。	* 從底部計數，九表示陽?六表示陰(例如「初九」表示最底的陽的爻)	初六 鼎顛趾。利出否。得妾以其子。無咎。 （鼎的腳倒過來。將鼎翻過來可以將壞的東西從鼎裡面取出來。妾是低賤的存在，但妾生下的孩子將是繼任者。沒有罪咎。） → 必須去除內部不必要的東西時。能獲得上級幫助的好的。選擇一些邪惡的手段來實現一個大的目的是可以的。	九二 鼎有實。我仇有疾。不我能即。吉。 （鼎裡的內容很充實。有些人試圖讓我生病，但不是為了我。這很好。） → 當你展示你的才華時，障礙更可能發生。在某些情況下，我們周圍有些人會在錯誤的方向上邀請我們。通過謹慎決定路徑同時消除您不熟悉的事物來帶來好運。	九三 鼎耳革，其行塞。雉膏不食。方雨虧悔。終吉。 （鼎的把手脫落了，無法將鼎搬起移動。無法吃最美味的山雞湯。但是，如果保持正確的態度，就會下雨，事物會調和。那麼就不會後悔，最終會得到好運。） → 當內容是好的，但手段是錯誤的，看不見通往成功的道路之時。當然，不能得到獎勵。改變謙虛溫順的態度並保持的話，最終可以獲得好運。	九四 鼎折足，覆公餗。其形渥。凶。 （鼎的腳斷了，裡面的盛宴翻過去，灑了出來。鼎被浸濕了，凶。） → 被委以重大的任務，但由於力量不足而失敗。當過度自信或缺乏注意可能會造成很大的損害。	六五 鼎黃耳金鉉。利貞。 （金輪穿過鼎的耳朵。保持正確的道路是有好處的。） → 當可靠的下屬或後輩來時，一切順利。然而，保持警覺，並記住的謙虛的態度。	上九 君子豹鼎玉鉉。大吉。無不利。 （鼎配上寶石做成的鼎杠。大吉。任何事都有好處。） → 新的開始終於碩果累累，盡收成功。大繁榮的時期。但是，注意不要驕傲，不要忘記做一個堅強溫柔的人。	
51	震	震，亨。震來虩虩。笑言??。震驚百里，不喪匕鬯。	震為雷在六十四卦中的氣勢最大。	主器者莫若長子，故受之以震，震者動也。	動，前進，工作，震動，雷鳴，努力，學習，長子	當運氣出現突然變化的跡象時，心情無法平靜之時。	有朝著實現願望的動向，但現在還不是實現的時候。	積極的情緒油然而生的時候，但如果照原樣進行，就會發生衝突。	親事不穩定，難以結合。	活潑有行動力。		在現在的住家無法平靜。	當上下劇烈變化時。	由於準備不足，有很多障礙。	瘋狂、歇斯底里、肝病、足病、外傷等。	* 從底部計數，九表示陽?六表示陰(例如「初九」表示最底的陽的爻)	初九 震來虩虩。後笑言??。吉。 （地震來臨的瞬間，人們畏懼地四處張望。但在那之後，會變得能發出笑聲般的平穩。沒有罪咎。） → 令人驚訝的事情發生了，但大多數時候是安全的。但是，嘴上說安全也不要大意，要小心不要犯錯。那樣的話會得到好運。	六二 震來厲。億喪貝，躋于九陵。勿逐。七日得。 （因為地震很危險。失去了很多資產，不得不爬上高山撤離。但是，即使不去追損失的資產，在七天後也會回來。） → 當突如其來的災難發生，不得不暫時譴責之時。最好遠離危險的東西。即使失去些東西，也會擅自回到手邊，所以不必試圖去勉強找回來。	六三 震蘇蘇。震行無眚。 （地震發生，害怕得無法站到最後。如果在地震發生後向前走，要小心，不要犯錯誤就不會有災厄。） → 因為對自己的能力過度自信而得不到任何東西感到失望時。如果在那之後能反省，災厄就不會到來。如果不能改善自己的缺點，就會導致更大的災厄。	九四 震遂泥。 （嘗試激勵自己，但最終掉進泥沼裡。） → 沒有得天獨厚的環境和條件，無法展示自己的能力。但不要放棄前進。繼續後，道路將打開。	六五 震往來厲。億無喪有事。 （發生地震，去哪裡都很危險。但如果保持中庸，不會遭受很大的損失。） → 一場突如其來的災難發生，將被置於一個混亂的環境中。在這種時候，如果能不驚慌失措且冷靜行動，就可以將損失降至最低。	上六 震索索。視矍矍。征凶。震不于其躬，于其鄰 無咎。婚媾有言。 （地震發生，失去了氣力。無法冷靜下來，只能四處張望。繼續前進是不好的。不過，如果能在災害波及到自身前，將身旁的災害掌握住，提前做好準備的話，沒有罪咎。婚事會被反對。） → 一場突如其來的災難發生了，自己的氣力萎靡。不能冷靜地行動，如果就這樣前進的話，會變得不幸。為了不要變得不幸，看他人的行動，學其好的，改正壞的。	
